city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
city_150,0.6866435347045905,Male,No relevent experience,no_enrollment,Masters,STEM,13,50-99,Public Sector,>4,21,0
city_103,0.9200000000022581,Male,No relevent experience,Full time course,Masters,Humanities,8,50-99,Public Sector,3,224,0
city_65,0.8350468321127156,Male,No relevent experience,no_enrollment,Graduate,No Major,>20,10000+,Pvt Ltd,3,48,0
city_103,0.9199999999652172,Male,Has relevent experience,no_enrollment,Graduate,Other,>20,100-500,Funded Startup,1,32,0
city_103,0.919999999976348,Male,Has relevent experience,no_enrollment,Masters,STEM,5,10000+,Pvt Ltd,1,103,1
city_103,0.9199999999741669,Female,Has relevent experience,no_enrollment,Graduate,Business Degree,4,100-500,Funded Startup,1,34,0
city_99,0.9179248165335097,Male,No relevent experience,Full time course,Graduate,STEM,11,10000+,Pvt Ltd,2,22,0
city_21,0.6239999994602917,Male,No relevent experience,Full time course,High School,STEM,4,10000+,Pvt Ltd,never,7,1
city_27,0.8389488257923738,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,50-99,Pvt Ltd,never,4,<NA>
city_136,0.8944552365385879,Female,Has relevent experience,no_enrollment,Graduate,STEM,8,10/49,Early Stage Startup,1,8,0
city_150,0.6964973510474705,Male,No relevent experience,Full time course,High School,STEM,<1,10000+,Pvt Ltd,never,24,0
city_67,0.8697463618772461,Male,Has relevent experience,no_enrollment,Masters,STEM,15,50-99,Pvt Ltd,never,146,0
city_103,0.9199999999939911,Male,No relevent experience,no_enrollment,Graduate,STEM,<1,10000+,Pvt Ltd,1,43,1
city_114,0.9259999531105775,Male,Has relevent experience,Full time course,Masters,STEM,4,10000+,Pvt Ltd,2,24,0
city_143,0.7358369643690854,Male,No relevent experience,no_enrollment,Masters,STEM,14,1000-4999,Other,3,95,0
city_114,0.9259999663063792,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,3,7,0
city_67,0.8416396793451464,Male,Has relevent experience,no_enrollment,Masters,STEM,10,10000+,Pvt Ltd,2,5,0
city_16,0.9099999692600728,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,>4,24,1
city_173,0.8829176465263742,Male,Has relevent experience,no_enrollment,High School,STEM,5,50-99,Pvt Ltd,1,35,0
city_136,0.8976725673292065,Male,No relevent experience,Part time course,Graduate,STEM,4,100-500,Pvt Ltd,1,119,0
city_64,0.6751440033353493,Male,No relevent experience,no_enrollment,Graduate,STEM,18,10000+,Pvt Ltd,>4,20,1
city_21,0.6239999996570349,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Funded Startup,1,34,1
city_103,0.9200000000134366,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,1000-4999,Pvt Ltd,1,52,0
city_114,0.9260000211200845,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,1000-4999,Pvt Ltd,>4,74,0
city_136,0.8961360868589281,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,>4,29,0
city_73,0.7969555282568375,Other,Has relevent experience,Part time course,High School,STEM,10,10000+,Pvt Ltd,1,24,0
city_75,0.9426950389188318,Female,Has relevent experience,no_enrollment,Graduate,Humanities,4,50-99,Funded Startup,1,101,0
city_114,0.9259999679502896,Male,Has relevent experience,no_enrollment,Masters,Business Degree,7,1000-4999,Pvt Ltd,4,34,0
city_21,0.6239999993189576,Male,No relevent experience,Full time course,Masters,STEM,2,10000+,Pvt Ltd,never,8,0
city_77,0.8320932430839469,Male,Has relevent experience,no_enrollment,Masters,STEM,9,50-99,Pvt Ltd,1,67,0
city_136,0.8948429454615918,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,>4,30,0
city_67,0.8665393225615187,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,50-99,Pvt Ltd,2,25,0
city_75,0.945400887403183,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,166,0
city_103,0.9199999999775862,Male,Has relevent experience,no_enrollment,Masters,STEM,7,50-99,Pvt Ltd,2,180,0
city_21,0.6240000022541881,Male,Has relevent experience,Full time course,Masters,STEM,<1,10/49,Funded Startup,2,17,<NA>
city_73,0.7873318932309687,Male,No relevent experience,Part time course,Graduate,STEM,12,1000-4999,Public Sector,>4,130,0
city_16,0.9099999807135394,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,2,156,1
city_103,0.9200000000052654,Male,No relevent experience,Part time course,Graduate,STEM,18,10000+,Pvt Ltd,2,55,0
city_21,0.6240000004684463,Male,No relevent experience,Full time course,Graduate,STEM,1,50-99,Pvt Ltd,never,52,1
city_89,0.9248612314172655,Male,No relevent experience,Full time course,Graduate,Business Degree,2,10000+,Pvt Ltd,1,171,1
city_57,0.8706755250580187,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,208,0
city_102,0.8178901840967269,Male,Has relevent experience,Full time course,High School,STEM,9,10000+,Pvt Ltd,1,17,0
city_103,0.9199999999922608,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Pvt Ltd,1,41,0
city_21,0.6239999992290824,Male,Has relevent experience,Full time course,Graduate,STEM,2,10/49,Pvt Ltd,1,16,0
city_136,0.8941598335431864,Male,No relevent experience,Part time course,Masters,STEM,6,50-99,Funded Startup,1,70,0
city_114,0.9260000390702089,Male,Has relevent experience,no_enrollment,Masters,STEM,9,<10,Pvt Ltd,1,9,0
city_142,0.7503855249511578,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Pvt Ltd,1,67,0
city_103,0.9200000000057229,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,69,0
city_41,0.8154473392063435,Male,Has relevent experience,Full time course,Masters,STEM,7,500-999,Funded Startup,2,91,0
city_152,0.679764451913406,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,>4,96,1
city_173,0.8855864968057389,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,100-500,Pvt Ltd,2,9,0
city_103,0.9199999999755316,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,1000-4999,Other,>4,137,0
city_21,0.6239999996935424,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,2,64,0
city_21,0.6239999993475627,Male,Has relevent experience,Full time course,Graduate,STEM,3,500-999,Funded Startup,1,130,0
city_16,0.9099999744186441,Male,Has relevent experience,no_enrollment,High School,STEM,>20,50-99,Pvt Ltd,>4,7,0
city_59,0.9200000000177082,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,10/49,Pvt Ltd,1,134,0
city_103,0.919999999976301,Male,Has relevent experience,no_enrollment,Masters,STEM,15,10/49,Pvt Ltd,1,87,0
city_123,0.7388968190829472,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,>4,18,0
city_21,0.6240000010685116,Male,No relevent experience,Full time course,Graduate,STEM,2,10000+,Pvt Ltd,1,240,0
city_46,0.790945608896372,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,<10,Pvt Ltd,1,51,0
city_103,0.9199999999763613,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,1,284,0
city_103,0.9199999999989056,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,1000-4999,Pvt Ltd,2,13,0
city_150,0.6800062089441996,Male,No relevent experience,Full time course,High School,STEM,1,10000+,Pvt Ltd,never,78,<NA>
city_71,0.8912455693520384,Male,Has relevent experience,no_enrollment,Masters,STEM,11,10000+,Pvt Ltd,1,116,0
city_103,0.9200000000127221,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,10000+,Pvt Ltd,never,111,1
city_136,0.8962193971130379,Male,Has relevent experience,no_enrollment,Masters,STEM,8,50-99,Pvt Ltd,1,136,0
city_173,0.8870072764657656,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,>4,47,<NA>
city_114,0.9259999583646167,Male,Has relevent experience,no_enrollment,Masters,STEM,16,10000+,Pvt Ltd,1,21,0
city_21,0.6239999999464612,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,2,77,1
city_103,0.9199999999735667,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Pvt Ltd,1,58,<NA>
city_16,0.909999987969844,Male,No relevent experience,no_enrollment,Primary School,Humanities,>20,10000+,Pvt Ltd,>4,25,<NA>
city_71,0.8845168965937517,Male,Has relevent experience,no_enrollment,Masters,STEM,15,10000+,Pvt Ltd,2,117,0
city_16,0.909999964158555,Male,No relevent experience,no_enrollment,Graduate,STEM,4,10000+,Pvt Ltd,2,46,0
city_90,0.6817850994093303,Male,Has relevent experience,Part time course,Masters,STEM,6,10000+,Pvt Ltd,1,114,1
city_11,0.4512546130241752,Female,Has relevent experience,Full time course,Masters,STEM,15,10000+,Pvt Ltd,2,55,0
city_21,0.6239999989290645,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,50-99,Pvt Ltd,1,55,1
city_105,0.795350056190931,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,50-99,Pvt Ltd,1,73,<NA>
city_71,0.8770097371403648,Male,Has relevent experience,Full time course,Graduate,STEM,13,100-500,Other,1,98,0
city_21,0.6240000011094676,Male,Has relevent experience,no_enrollment,Graduate,STEM,<1,10/49,Pvt Ltd,1,17,1
city_100,0.8874655164379596,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,1000-4999,Pvt Ltd,3,108,1
city_21,0.6240000001877155,Male,No relevent experience,no_enrollment,Graduate,STEM,4,10000+,Pvt Ltd,2,34,1
city_21,0.6239999989545055,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,4,130,1
city_114,0.9259999889041487,Male,Has relevent experience,no_enrollment,High School,STEM,11,50-99,Pvt Ltd,1,8,0
city_21,0.6239999993367111,Male,Has relevent experience,no_enrollment,Masters,STEM,4,50-99,Pvt Ltd,2,64,1
city_40,0.7692727503723201,Male,Has relevent experience,no_enrollment,Graduate,Humanities,>20,10000+,Pvt Ltd,4,28,0
